0,1,2,3,4,5,6,7
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,402.41,386.0,409.0,386.0,399.0,-3.41,"3,543"
Atlas Honda Ltd,"1,166.02",1167.0,1179.9,1160.0,1170.22,4.2,"3,626"
Dewan Motors,32.75,33.75,36.03,33.5,36.03,3.28,"3,425,976"
Ghandhara Automobile,478.59,479.0,485.5,479.0,480.8,2.21,"490,334"
Ghandhara Ind.,707.30,708.0,715.98,692.9,697.0,-10.3,"271,854"
Hinopak Motor,342.24,343.0,345.0,340.0,340.0,-2.24,"2,326"
Honda Atlas Cars,284.38,287.0,292.64,283.01,288.5,4.12,"471,423"
Indus Motor Co.XD,"1,935.55",1935.0,1948.0,1935.0,1940.65,5.1,541
Millat Tractors,588.19,592.0,592.0,584.01,586.0,-2.19,"20,254"
Sazgar Engineering,"1,318.54",1322.86,1340.0,1306.0,1334.0,15.46,"202,945"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agriautos Ind.,110.00,110.03,114.99,109.99,110.01,0.01,"25,011"
Atlas Battery,257.00,258.99,259.99,255.0,257.05,0.05,"4,416"
Bal.Wheels,134.53,134.53,135.9,134.0,134.0,-0.53,"1,389"
Bela Automotive,132.60,132.82,142.99,132.81,134.99,2.39,165
Dewan Auto Engg,28.05,28.3,28.95,28.29,28.5,0.45,"1,513"
Exide (PAK),781.68,788.88,797.0,780.0,788.0,6.32,"2,613"
Ghandhara Tyre,36.90,36.99,38.0,36.99,37.6,0.7,"274,057"
Loads Limited,14.86,14.9,15.25,14.65,15.09,0.23,"473,074"
Panther Tyres Ltd.,40.03,40.88,40.9,39.65,39.99,-0.04,"2,449"
Thal Limited,387.40,388.0,388.0,361.0,383.99,-3.41,"5,893"
Treet Battery Ltd.,10.96,10.99,11.09,10.84,10.86,-0.1,"670,228"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Fast Cables Ltd.,21.54,21.8,21.9,21.51,21.8,0.26,"175,025"
Pak Elektron,45.30,45.4,45.95,44.8,45.75,0.45,"1,864,787"
Pakistan Cables-,154.18,154.7,155.0,154.0,155.0,0.82,"2,001"
Waves Corp Ltd.,7.50,7.5,7.6,7.41,7.45,-0.05,"190,557"
Waves Home App,9.05,9.16,9.23,8.88,9.0,-0.05,"672,673"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Cement,278.70,279.0,301.0,276.0,296.51,17.81,"414,446"
Bestway Cement,403.28,401.0,405.0,401.0,401.63,-1.65,"6,290"
Cherat Cement,274.22,274.89,279.0,271.07,278.0,3.78,"517,117"
D.G.K.Cement,150.74,150.01,154.45,148.15,153.25,2.51,"7,316,517"
